MTProto, UrlUploadSkybot:        	Reported!
Loop, UrlUploadSkybot:           	Resuming update loop!
Session, UrlUploadSkybot:        	Garbage collected 5 incoming messages, 0 left
Session, UrlUploadSkybot:        	Garbage collected 7 outgoing messages, 0 left
Session, UrlUploadSkybot:        	Garbage collected 4 incoming messages, 0 left
Session, UrlUploadSkybot:        	Garbage collected 1 outgoing messages, 0 left
SessionPaths, UrlUploadSkybot:   	Waiting for exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.safe.php.lock...
SessionPaths, UrlUploadSkybot:   	Got exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.safe.php.lock...
SessionPaths, UrlUploadSkybot:   	Waiting for exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.lightState.php.lock...
SessionPaths, UrlUploadSkybot:   	Got exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.lightState.php.lock...
APIWrapper, UrlUploadSkybot:     	Saved session!
SessionPaths, UrlUploadSkybot:   	Waiting for exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.safe.php.lock...
SessionPaths, UrlUploadSkybot:   	Got exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.safe.php.lock...
SessionPaths, UrlUploadSkybot:   	Waiting for exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.lightState.php.lock...
SessionPaths, UrlUploadSkybot:   	Got exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.lightState.php.lock...
APIWrapper, UrlUploadSkybot:     	Saved session!
SessionPaths, UrlUploadSkybot:   	Waiting for exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.safe.php.lock...
SessionPaths, UrlUploadSkybot:   	Got exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.safe.php.lock...
SessionPaths, UrlUploadSkybot:   	Waiting for exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.lightState.php.lock...
SessionPaths, UrlUploadSkybot:   	Got exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.lightState.php.lock...
APIWrapper, UrlUploadSkybot:     	Saved session!
SessionPaths, UrlUploadSkybot:   	Waiting for exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.safe.php.lock...
SessionPaths, UrlUploadSkybot:   	Got exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.safe.php.lock...
SessionPaths, UrlUploadSkybot:   	Waiting for exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.lightState.php.lock...
SessionPaths, UrlUploadSkybot:   	Got exclusive lock of /home/harimjl3/public_html/Poker/t/upload.madeline.lightState.php.lock...
APIWrapper, UrlUploadSkybot:     	Saved session!
